,start_hour,end_hour,rebalance_hour,cov,stdev
6374,16,18,14,shrinkage,0.0740832342295461
6350,16,17,14,shrinkage,0.0740858087631
6349,16,17,13,shrinkage,0.0740916795658509
6373,16,18,13,shrinkage,0.0740916795658509
2641,5,6,1,shrinkage,0.0741035516345978
4314,8,24,18,shrinkage,0.0741039065384527
6348,16,17,12,shrinkage,0.0741058277599713
6372,16,18,12,shrinkage,0.0741058277599713
4242,8,21,18,shrinkage,0.0741078719745525
6375,16,18,15,shrinkage,0.0741243327918205
1604,2,22,20,shrinkage,0.0741280757436494
6351,16,17,15,shrinkage,0.0741405144264359
574,0,24,22,shrinkage,0.0741516867781792
548,0,23,20,shrinkage,0.0741528363193537
594,1,2,18,shrinkage,0.0741607060352292
3976,8,10,16,shrinkage,0.0741684192273673
4266,8,22,18,shrinkage,0.0741771440912323
1125,1,24,21,shrinkage,0.0741820011093808
4290,8,23,18,shrinkage,0.0742024593776209
1100,1,23,20,shrinkage,0.0742066335048786
6345,16,17,9,shrinkage,0.0742109200079721
4219,8,20,19,shrinkage,0.0742119042639459
1124,1,24,20,shrinkage,0.0742417972705052
6336,16,17,0,shrinkage,0.0742419996954693
6360,16,18,0,shrinkage,0.0742419996954693
524,0,22,20,shrinkage,0.0742435051573367
4218,8,20,18,shrinkage,0.0742476881544739
1126,1,24,22,shrinkage,0.0742568621430388
645,1,4,21,shrinkage,0.0742601688174862
2643,5,6,3,shrinkage,0.0742647683280705
6362,16,18,2,shrinkage,0.0742867684634146
6338,16,17,2,shrinkage,0.0742867684634146
6363,16,18,3,shrinkage,0.0742917887489151
6339,16,17,3,shrinkage,0.0743102962935113
6337,16,17,1,shrinkage,0.0743154420119546
6340,16,17,4,shrinkage,0.0743394211931197
2644,5,6,4,shrinkage,0.0743499582090927
647,1,4,23,shrinkage,0.0743620736208003
549,0,23,21,shrinkage,0.074365241761332
596,1,2,20,shrinkage,0.0743705077160261
2184,4,6,0,shrinkage,0.07437310968455
6361,16,18,1,shrinkage,0.0743733977158054
2642,5,6,2,shrinkage,0.0743774032966104
1127,1,24,23,shrinkage,0.0743789411768749
99,0,5,3,shrinkage,0.0743857966462284
575,0,24,23,shrinkage,0.0744064003517622
1026,1,20,18,shrinkage,0.0744089982662982
808,1,11,16,shrinkage,0.0744171316521756
129,0,6,9,shrinkage,0.074421523120396
98,0,5,2,shrinkage,0.074422378281241
96,0,5,0,shrinkage,0.074437268141048
130,0,6,10,shrinkage,0.0744375588039348
125,0,6,5,shrinkage,0.0744427717256444
2185,4,6,1,shrinkage,0.0744669103302957
595,1,2,19,shrinkage,0.0744682539895569
134,0,6,14,shrinkage,0.0744903273272531
2186,4,6,2,shrinkage,0.0744991042725403
475,0,20,19,shrinkage,0.0745044110856753
128,0,6,8,shrinkage,0.0745094460122817
599,1,2,23,shrinkage,0.0745160139428518
97,0,5,1,shrinkage,0.0745202173409658
2187,4,6,3,shrinkage,0.074521303516608
